text,or_city,dst_city,str_date,end_date,budget
San Diego to Pittsburgh for 7 adults total,San Diego,Pittsburgh,,,
hey I need to get home asap!!! PLEASE get me to Sapporo,,Sapporo,asap,,
You can help me by booking a flight out of Cordoba to Salvador for me and my friend. Leaving ASAP and back before September 8. Oh and I'll need the best hotels you can get,Cordoba,Salvador,ASAP,September 8,
"you can help me find a trip. from miami
to tijuana
between august thirtieth until september third
one adult",miami,tijuana,august thirtieth,september third,
Hey! I have to book a trip for a group of people from Beijing to Toluca.,Beijing,Toluca,,,
DO YOU FLY OUT OF THE KABUL?,KABUL,,,,
I have 4800 dollars,,,,,4800
Can you get me to Philadelphia please. Leaving from Goiania,Goiania,Philadelphia,,,
"I am in the middle of closing a huge multi million deal and I need you to send me and my 2 clients to the ritziest place in Kobe, no expense to be spared.",,Kobe,,,
"I need your help, gotta do some serious trip research for the wife S our travel dates are between sepember 1-18. We live in Monterrey. Its for me, my wife and 5 kids. Any other info you need?",Monterrey,,sepember 1,18,
"On late nights at work, friday nights melting into Saturday mornings, I’d dream about the day I can come to you with a booking request. I have September 8 to 25 off
Thinking of going somewhere from Belo Horizonte
Do you have a flight to MUnich?",Belo Horizonte,MUnich,September 8,25,
I must get away from the paparazzi. What packages can you offer to Hiroshima?,,Hiroshima,,,
I need to go to Barcelona,,Barcelona,,,
"Hi, I have a big family and we can't afford a big vacation, we want to go to Atlantis from Mos Eisley for $3600 at most.",Mos Eisley,Atlantis,,,$3600
I want to go to Kingston from Queenstown with my bestie! Can you get me there? I want the best you have! Highest ratings!,Queenstown,Kingston,,,
I have never travelled alone before so I'm going to be very meticulous. I would like to go to Belem from Kobe. I'm a student so i have a tight budget of 5700,Kobe,Belem,,,5700
I want to go to Cancun from Dallas,Dallas,Cancun,,,
I want to go to Barcelona from anywhere between the 12th and the 28th of September. I have 2100 and my assistant will be coming along. I am specifically looking for hotels near a park or beach or both.,,Barcelona,12th,28th of September,2100
Hi looking to go on vacation on the 13th of august,,,13th of august,,
"Yes please, I'd like to book a trip to Kobe.",,Kobe,,,
"Hi there, I'm looking to book a trip for a week starting this Wednesday. We are two adults and seven kids",,,Wednesday,,
I want to find a vacation between the 7th to 24 for 3100 leaving from Cordoba. Can you help me find something good?,Cordoba,,7th,24,3100
"hey there, I'm doing some travelling for business soon. It needs to be around August 18-August 26. What can you do for me?",,,August 18,August 26,
hello i am going to go to baltimore some time between september 10th and september 24th,,baltimore,september 10th,september 24th,
Why hello there! Can you see what's available for North Vancouver from Sydney?,Sydney,North Vancouver,,,
I wanna go to Guadalajara from Fort Lauderdale with 1 of my pals,Fort Lauderdale,Guadalajara,,,
"I have 7 kids and we would like to go to Dublin. They want to see their mom, she works there. We live in Santa Cruz.",Santa Cruz,Dublin,,,
Hi. I'd like to find a trip to San Diego. I can leave from Belo Horizonte. I'd like to travel between August 27th and August 31st if possible. My dates are flexible.,Belo Horizonte,San Diego,August 27th,August 31st,
"Hi, do you have flights out of Tel Aviv?",Tel Aviv,,,,
Hi! Can you get me a trip from FOrtaleza to Puebla?,FOrtaleza,Puebla,,,
"I want to go to Jerusalem to Ulsan. I am bringing 11 adults and 14 children and i will spend at most, 3100.",Ulsan,Jerusalem,,,3100
"I would like to take my soon to be wife on a great honeymoon, she deserves the best but we can only afford something up to 4200 for 6 days. We had discussed going to Punta Cana from Sapporo where our wedding will take place on the 17th, we can leave after that.",Sapporo,Punta Cana,17th,,4200
I need to book a trip for my assistant and I.  I am only free to go between Sept 6 and Sept 18.,,,Sept 6,Sept 18,
Yes! I choose Tampa! There lies my destiny.,,Tampa,,,
can u book a couple adults out of alexandria? send em anywhere i dont care. sept 16 until the 29th,alexandria,,sept 16,29th,
Hi im looking to go to monterrey,,monterrey,,,
kingston to salvador u got this?,kingston,salvador,,,
Hi im looking to go on a trip to baltimore,,baltimore,,,
One ticket from Atlanta to Tofino please,Atlanta,Tofino,,,
hey there! i am looking to go to fortaleza for spring break with 3 of the boys. what can you get me for 1600,,fortaleza,,,1600
"Hi darling, could you please book a trip from Goiania to Ulsan for me please?",Goiania,Ulsan,,,
"hey, so even though the year is 2025 i need to book a trip for august 26, 2016 to calgary...",,calgary,"august 26, 2016",,
Id like to book a trip. I have a very tight budget of $2600. I would need to be there between August 27th to September 11th.,,,August 27th,September 11th,$2600
"Hi there looking to go from SL to Kochi today
i've got 2000 budget, hoping to squeeze in a trip",SL,Kochi,,,2000
"Hi I'd like to go to Caprica from Busan, between Sunday August 21, 2016 and Wednesday August 31, 2016",Busan,Caprica,"Sunday August 21, 2016","Wednesday August 31, 2016",
Hello - need to fly out to Queenstown soon,,Queenstown,,,
Hello! I recently won the internship lottery to Kobe where I will work for free! I'll be leaving from Alexandria. What can you offer?,Alexandria,Kobe,,,
I'm looking for a trip between September 1 and 11,,,September 1,11,
"I never been much good at maths. We way overcalculated what we would be spending my wedding on September 7, and only have 1600 left over :disappointed: Wifey is so mad at me
But is that enough to get us from Leon to Rome, for lets say 8 days?",Leon,Rome,,,1600
Hello bot! Could you do me a favour and check if you do flights from Barcelona to Manas?,Barcelona,Manas,,,
sometime in the next century. but for under 5000,,,,,5000
I want to get away for a bit! im from Houston,Houston,,,,
"Hey there, I’m looking to check out a few destinations to see if they’ll be appropriate for me to accept an internship in. I want to travel from August 27-30, just enough to get a taste of each location.
I am leaving from Monterrey and I would like to spend 5200 at most, as my internship is unpaid.
Is there anything available to Kobe for these dates and price?",Monterrey,Kobe,August 27,30,5200
"HI. I have to book my honeymoon … but I’m getting married in Fukuoka a week from today!!
Can you book something for two adults? We aren’t going far, just Hiroshami
",Fukuoka,Hiroshami,a week from today,,
"Hi there. I have 2000 to spend on my lovely parents
I want to get them out of Puebla sometime this month
September 3 to 16
Whats the longest trip you can book me?",Puebla,,September 3,16,2000
"need a vacay
i only got 3 days off work tho august 27-31
i wanna go to Kobe whats available?",,Kobe,august 27,31,
"I'd like to get away from Monday, August 15, 2016 to Wednesday, August 31, 2016. My budget is $3200 and I would leave from Detroit.",Detroit,,"Monday, August 15, 2016","Wednesday, August 31, 2016",$3200
I would like to go to San Juan,,San Juan,,,
"I need to travel to Phili. on september 11, from recife",recife,Phili,september 11,,
"I need to get to Porto Alegre. from Lima
I need to return by September 10
but I will leave as soon as possible
and I'm bringing a friend, I'll be paying for her",Lima,Porto Alegre,,September 10,
I want to go to Pittsburgh from Boston please.,Boston,Pittsburgh,,,
Ever been to Queenstown? Can you tell me what it is like?,,Queenstown,,,
Hi im from Philadelphia,Philadelphia,,,,
"Hello, I have 15 vacation days available between June 1st and August 31st. I am leaving from Theed. I would like to go somewhere with lots of sunshine.",Theed,,June 1st,August 31st,
"Hi, can you help me book a trip with my assistant? We are only free between Aug 30 and Sep 7",,,Aug 30,Sep 7,
Good day sire. I would like to book a recreational stay between August 17 and September 3. What has thou to offer?,,,August 17,September 3,
You got a San Juan to Rome flight on Sept 2?,San Juan,Rome,Sept 2,,
hi hey hello i need to get to Atlanta,,Atlanta,,,
so im following a special someone around the globe... I need to get form Busan to Mexico City,Busan,Mexico City,,,
I HAVE TO LEAVE FOR DENVER ON OR BEFORE AUGUST 23.,,DENVER,,AUGUST 23,
I have 2500 to spend,,,,,2500
"I’m planning a family vacation for my half dozen little rug rats and wife! We’ve got fifteen grand put aside for this trip so spare no expense finding us a great stay! Tijuana is where we live, and we have been talking about going to San Diego.",Tijuana,San Diego,,,fifteen grand
hi im from Coruscant looking to go to atlantis,Coruscant,atlantis,,,
santiago,,santiago,,,
"Hi there, what is the best hotel in Toronto?",,Toronto,,,
Hi! I have a $3300 budget and am looking for a vacation,,,,,$3300
Hello there. I would be intersted in travelling from Cordoba to Tokyo and I’m hoping you could help me with that,Cordoba,Tokyo,,,
I'd like to book a trip from Chicago to San Diego between August 26th and September 5th.,Chicago,San Diego,August 26th,September 5th,
"Hey hey hi! I've got a 10 day vacation break earned and can take it any time after the second of September So, I'd like to explore my options departing from Rio de Janeiro",Rio de Janeiro,,second of September,,
Hi. I'd like to book a trip from Nagoya to Phoenix from August 15th to August 29th.,Nagoya,Phoenix,August 15th,August 29th,
i wana go 2 boston from hiroshima,hiroshima,boston,,,
Kabul to Marseille!!!!!,Kabul,Marseille,,,
I want to go to Fortaleza to visit my aunt Betty.,,Fortaleza,,,
"Pokemon !!!!!! I need to get to Curitiba
From Punta Cana
SNAP
Get me a seat next to Mewtwo on the plane :wink:",Punta Cana,Curitiba,,,
"Hi. I am looking to visit friends Queenstown, leaving from Belo Horizonte. The total will be 6 adults and 5 children",Belo Horizonte,Queenstown,,,
So there are 4 friends I promised I would visit this year and I want to check which one would be the best to visit in the coming weeks based on the deals you can offer me.,,,coming weeks,,
Hi i want to plan my honeymoon to rome,,rome,,,
get me out of santiago for 13 days,santiago,,,,
"I need to get to Kabul, can you help me out here?",,Kabul,,,
"hi my friend i am going to take a vacation. but i want to go many places
i am unsure where i shall go
i will leave from vancouver
can you tell me about Athens? what is available there?",vancouver,Athens,,,
Minneapolis to Punta Cana,Minneapolis,Punta Cana,,,
HI there! my family and i are looking to go to Burlington,,Burlington,,,
"Ok! So I am planning a trip with my 6 best friends. We want to go from Guadalajara to somewhere else
First on our list is Cairo. Could you get us there?",Guadalajara,Cairo,,,
i need to book a trip to rio de janeiro,,rio de janeiro,,,
My brother and I both recently divorced our spouses and we want to take our 7 children away from all the drama for a bit. Do you have a fun package destination after August 31st? Something like the Atlantis?,,Atlantis,August 31st,,
I need to find MEWTWO!!!!! I need to get to Paris from Kingston on or after the 6th. I have a friend tagging along to help me and we have 6000,Kingston,Paris,6th,,6000
Hi! I want to go to Sendai! Can you help me get there?,,Sendai,,,
Can you get me out of Tofino???,Tofino,,,,
"I want to go to Miami from Beijing  between september 6th and 9th for 3500 and 5 adults altogether. The only thing I am flexible with is the price, if i need to I can increase it by 200",Beijing,Miami,september 6th,9th,3500
I want to book a trip from Paris to Ciudad Juarez for at most 4000 for one person,Paris,Ciudad Juarez,,,4000
"Hi there, I want to take my two grandchildren for a little holiday. We are living in Phili and they finish their camp on September 11 so we can leave anytime afterwards.
We have to be back by September 22 so they can go to school on the 23.",Phili,,September 11,September 22,
i need a 5 star getaway in toronto from beijing immediately,beijing,toronto,immediately,,
I'm getting married on the 20th in San Jose and need to try to find a honeymoon to Toronto for 9 days... all under 2200,San Jose,Toronto,20th,,2200
I'm a fashion designer and I'm going to be doing an internship with a VERY  famous fashion designer. Do you have any flight and hotel packages to Rome?,,Rome,,,
send my parents somewhere for 1800 from Burlington,Burlington,,,,1800
"Hi there, I'm looking to go to Brasilia between September 30 and October 4, could you help me?",,Brasilia,September 30,October 4,
THANK YOU I REALLY NEED A VACATION. I live in Ulsan,Ulsan,,,,
Can you check Guadalajara first? I'll be leaving from Curitiba,Curitiba,Guadalajara,,,
GET ME A FLIGHT FROM BARCELONA TO CALGARY LEAVE SEPTEMBER 2,BARCELONA,CALGARY,SEPTEMBER 2,,
Get me out of Berlin and to Campinas. Business class flights only. Get me the best hotel in Campinas,Berlin,Campinas,,,
"hello hello i am travelling with my 9 sisters and my child to our family reunion in Corsucant next month! we will spend 1800 max, what can you do?",,Corsucant,next month,,1800
"FAMILY VACATION ALERT. ha-ha, dad of the year here!
bringing my 6 little offspring to see their mother in London
we would like to leave from our hometown of Brasilia
dates are flexible, as is budget (7 people is gonna get pricey I would assume) how can ya help me out?",Brasilia,London,,,
helllllo newlywed young lover here looking to skeedaddle off to Sao Paulo for 9 days or so after our reception on august 27 in Athens. two of us have about 2700 dollars left after the wedding so keep that in mind,Athens,Sao Paulo,august 27,,2700
Hi Wizard! I'm looking for a trip from Rosario.,Rosario,,,,
I am from London and am looking to book a vacation package!,London,,,,
Looking to go to Guadalajara,,Guadalajara,,,
i'm looking to go to ulsan from santiago for 12 days. leaving on august 27th. this is for two people. do you have anything for me?,santiago,ulsan,august 27th,,
"Hello there, I'd like to book a vacation for my best friends and myself. I live and work in St. Petersburg, and I've been wanting to get out of the city with my buddies for a long time now :slightly_smiling_face:",St. Petersburg,,,,
Hi I need to get to Calgary ASAP,,Calgary,,,
I just can't wait to get away from it all. I live in Dublin and I'd like to go to Pittsburgh. What's available?,Dublin,Pittsburgh,,,
Hi im from neverland! and i want to go to Mos eisley,neverland,Mos eisley,,,
HI im from Alexandria looking to book a 12 day vacation,Alexandria,,,,
I want to go to denver from frankfurt for under 2900 from september 8th to 13th,frankfurt,denver,september 8th,13th,2900
"Hello. Looking to travel out of Leon with a client
I want to find a really nice hotel to impress him - have big business deals to close",Leon,,,,
Hey hey! So spring break is Sept 26 - Oct 3.,,,Sept 26,Oct 3,
can I go to Sacramento?,,Sacramento,,,
Hi im taking the family on a trip to Manaus is that possible with a budget of $3900,,Manaus,,,$3900
Wooooohoooooo it's spring break time let's go get wet and wild! We need to book a place in the middle of the action in Dallas. Close to beach for sure.,,Dallas,,,
I'm looking for some Pokemon. I heard one was spotted in San Antonio. We'd like to leave here on August 26th!,,San Antonio,August 26th,,
"Ok i got a week off starting Sept 8. I live in Tampa, show me some cool places I can go!",Tampa,,Sept 8,,
"Ah Jeez. I need to travel from Puebla to Buenos Aires. I have a terrific reason to go, I assure you. My backstory here is impeccable",Puebla,Buenos Aires,,,
"i am looking to explore some options for an upcoming internship. i have a week off from sept 2-9 to see where i’d like to spend my next 6 months
i have a 5800 budget and im leaving from la paz
can you tell me whats available in Ulsan",la paz,Ulsan,sept 2,9,5800
HEY IM TRYING TO GO ON SPRIIIIING BREEEAAAAKKKK. SAN FRANCISCO IS POPPIN RIGHT? LETS GO THERE,,SAN FRANCISCO,,,
I'm looking to book a trip to Fukuoka from Mannheim leaving on August 27th for my honeymoon.,Mannheim,Fukuoka,August 27th,,
Um get me to Kochi,,Kochi,,,
"leaving from cleveland. 1 adult, 2 kids
september 8 to 27",cleveland,,september 8,27,
hey i wanna go to hiroshima w my fam,,hiroshima,,,
Wanna get my parents out of Kingston. I've got 2000. need them gone between september 20th and october 10th,Kingston,,september 20th,october 10th,
I want to go to Sapporo,,Sapporo,,,
get me from Buenos Aires to the nicest hotel in Punta Cana. And I mean ASAP!!!!,Buenos Aires,Punta Cana,,,
"Hello, I am looking to book a vacation from Gotham City to Mos Eisley for $2100.",Gotham City,Mos Eisley,,,2100
"I'm traveling alone, from Minneapolis to Ciudad Juarez. Sept 2 to Sept 22. Do you have any flights that fit?",Minneapolis,Ciudad Juarez,Sept 2,Sept 22,
I want to leave from Tel Aviv and go to Fortaleza for 2300 with 7 adults,Tel Aviv,Fortaleza,,,2300
Do you have hotels in Jerusalem?,,Jerusalem,,,
i want you to recommend me a package in rome that leaves from las vegas. i have a travel window between 20 and 26 september,las vegas,rome,20,26 september,
i live in toluca but want 2 vacation somewhere can u help me,toluca,,,,
"Hello. Oh my next destination is my home.. as soon as I get off work
If I ever get off ....
But you know where I would really love to go?
Somewhere with sun.. anywhere really
Cleveland is so grey and dead this time of year
I've been dreaming of going down to South America
Would I ever be able to get to Campinas from here with 5200 dollars?",Cleveland,Campinas,,,5200
hay queen whats gooood. We are interested in getting out of The Veg and going to fukuoka.,The Veg,fukuoka,,,
"Hi! I'm looking to go from Essen to San Juan between August 27 to September 17
Traveling alone",Essen,San Juan,August 27,September 17,
I have to be in Kabul on or after September 6.,,Kabul,September 6,,
I wanna lay low so i need to get out of tijuana. I think i’d like to go to rome,tijuana,rome,,,
"Hello! I live in Munich and I'd like to book any kind of trip between Monday, August 15th and Friday August 26th for 3 adults and 3 kids.",Munich,,"Monday, August 15th",Friday August 26th,
Hi you can help me by exploring my options to travel from Paris to San Jose.,Paris,San Jose,,,
"Good afternoon my name is Carolina and I want to book a trip. Can you please tell me what specials you have at the moment leaving on August 25  and going to Guadalajara, I want to go visit my family.",,Guadalajara,August 25,,
"Hi there. I’d like for you to take me anywhere really
Do you do flights out of Milan?",Milan,,,,
"Help! I need to get my family out of Kabul, We would prefer being in Marseille at the moment.",Kabul,Marseille,,,
"Hi, me and my family want to take a trip to Kakariko Village.",,Kakariko Village,,,
I heard Madonna and her friend were going to Santa Cruz. I need to go there and try to get a dope picture for People Magazine so I can get rich quick.,,Santa Cruz,,,
"I need to book a vacation. ok I’m leaving from Rio de Janeiro
I don’t particularly care about where we go",Rio de Janeiro,,,,
"Good morning! I'm an expat writer living in Kobe, Richard O'Brien, ever heard of me?",Kobe,,,,
Hi there. Can I use your services to leave Puebla?,Puebla,,,,
"good i have 3 days off and wanna leave San Antonio. i only have 400 bucks so ill prob have to take a bus but if u can find me a flight that'd be sweet as hell. i'll go wherever, whenever",San Antonio,,,,400
"Can anything help resurrect my career at this point??? Is there any sadder rung in society than that of the failed writer
Ok you know what, maybe you can help
Get me to Campinas to San Juan please
Me, my wife, and my son",Campinas,San Juan,,,
I wanna go from Tijuana to Goiania for 4500,Tijuana,Goiania,,,4500
"Hi! I hear Hogsmeade has some excellent bars. Can you book me a trip there from Diagon Alley, leaving on August 13th? For 7 men and women",Diagon Alley,Hogsmeade,August 13th,,
Hi! I'd like to go on a trip to Monterrey!,,Monterrey,,,
Hey I live in Mos Eisley and I need to book a flight!,Mos Eisley,,,,
hi i need to get to mexico please find me a flight from punta cana,punta cana,mexico,,,
I want to go to Kabul from Baltimore,Baltimore,Kabul,,,
I’d like to see where I can go from Hiroshima. Between now and September 5,Hiroshima,,now,September 5,
i am daydreaming late at work and i want to think about maybe possibly perhaps going to phoenix,,phoenix,,,
"I have a CRUCIAL meeting with my investors in Santa Cruz, you MUST get me there",,Santa Cruz,,,
I NEED TO GET TO SAN ANTONIO FROM TAMPA,TAMPA,SAN ANTONIO,,,
"Hi there, I live in Dublin but I've always wanted to see what's good in Goiania. Do you think that if I forked over $1800, you can get me there?",Dublin,Goiania,,,$1800
"yo fam. got 5100 to blow
need to get out of Los Angeles for a week
can u gimme some ideas
yo i heard rosario is lit
can i fly there from los angeles",Los Angeles,rosario,,,5100
"Hello, I'd like to book a trip to Mos Eisley from Hogsmeade on August 13.",Hogsmeade,Mos Eisley,August 13,,
i want ot travel to melbourne. i will leave from kyoto,kyoto,melbourne,,,
I'd like to book a trip to Monterrey from August 17th to August 25th.,,Monterrey,August 17th,August 25th,
"Hi, send me on a 10 day-trip away from Cairo. I'd like to leave August 15. Send me to Sendai. Money is not object",Cairo,Sendai,August 15,,
Yes hi! I live in Santos and I want to book a holiday of up to 16 days. Do you have any trips I can take that fit within a budget of 0$?,Santos,,,,0$
"hey so i need 2 get my parents out of town. where can u ship em between septemeber 2 and 13th for 3500 dollars?
leaving from montreal ",montreal,,septemeber 2,13th,3500 dollars
out of kabul,kabul,,,,
"I need to book 4 kids and one adult to Rio de Janeiro, departing from Queenstown.",Queenstown,Rio de Janeiro,,,
Miami from Goiania. 3400 max,Goiania,Miami,,,3400
"Hi, i want to go to Nagoya from Seoul with my wife and son",Seoul,Nagoya,,,
"Hi there. I need flights from Beijing to Busan
For 3 adults",Beijing,Busan,,,
Get me outta St. Petersburg! I need a beach vacation!,St. Petersburg,,,,
"I would like to go to somewhere, dont know where tho. I would need to leave from SL and i have 10 days vacation",SL,,,,
My friends and I would love to get to Phoenix please!,,Phoenix,,,
Seattle please leaving Jerusalem,Jerusalem,Seattle,,,
looking to go from mos eisley to kyoto on august 27,mos eisley,kyoto,august 27,,
HELLO THERE I AM IN MILAN AND LOOKING TO TRAVEL TO SANTO DOMINGO ON WEDNESDAY AUGUST 24. SORRY FOR ALL THE YELLING I'M IN A HELICOPTER,MILAN,SANTO DOMINGO,WEDNESDAY AUGUST 24,,
I wanna get to sendai with my posse from santo domingo,santo domingo,sendai,,,
Ok so I need to get from Vitoria to a bunch of possible places between September 2 and 21. budget is strictly 3200. can you first look at paris pls,Vitoria,paris,September 2,21,3200
"Hello, I represent a group of people who want to get out of Munich. our group comprises 4 adults and 6 children",Munich,,,,
"Hi, I need to get to Melbourne from Fukuoka. unlimited budget and dates arent a concern and its just me travelling.",Fukuoka,Melbourne,,,
Where could I go if I had almost no money? I need to physically leave from Busan what if I came up with $400?,Busan,,,,$400
I need your help to book my family a trip from Kabul to Seoul. What's the cheapest you've got?,Kabul,Seoul,,,cheapest
Hi there! I finally have some vacation time starting on August 22nd and I am hoping to go away somewhere really far away and getting away from it all. Do you have any suggestions for me?,,,August 22nd,,
looking at tijuana and i would likely be leaving from ciudad juarez asap,ciudad juarez,tijuana,asap,,
"Jerusalem to Tel Aviv, got flights?",Jerusalem,Tel Aviv,,,
"sooooo. in a bit of a pickle here and i need outta Tel Aviv ASAP.
can ya get me to valencia?",Tel Aviv,valencia,,,
from san antoni to anywhere. leaving friday sept 2. coming back on tues sept 15,san antoni,,friday sept 2,tues sept 15,
"Yo, im from Hiroshima. My b-day is coming up soon and me and my 3 amigos wanna party in Recife.",Hiroshima,Recife,,,
"I’m dreamin, of a getaway to the the Veg. I live in Busan",Busan,Veg,,,
"Hello online, I am the happiest man on earth! I have 4 beautiful children, a beautiful wife, a great life and on top of it all my beautiful wife has now let me look after what we hope will be a beautiful vacation. I have $8600, let's look at some possible fun trips for me, plus my beautiful wife, PLUS my beautiful family.",,,,,$8600
Athens to Busan. Aug 30,Athens,Busan,Aug 30,,
I need to get to Goiania from Beijing today or after but asap. emergency at home.,Beijing,Goiania,asap,,
Cancun please,,Cancun,,,
"Good afternoon, I'd like to book a trip with my son from August 18 to August 29. He and I would be leaving from Curitiba. What destinations can you offer?",Curitiba,,August 18,August 29,
"Hello, I need your help...my wife is super strict and she's put me in charge of the family vacation. We have $4000 to spend. Find me something good!",,,,,$4000
I NEED TO GET TO ROME FROM LEON,LEON,ROME,,,
"hello. im getting married september 2 in Kobe and need to book a honeymoon after that
looking at going to Kingston for a week
5000 dollars max please",Kobe,Kingston,september 2,,5000 dollars
i have 5 days vacation and i want some information on packages starting on or after September 8th from Rome.,,Rome,September 8th,,
"I need to get away from work, how about Paris?",,Paris,,,
"My name is Lorraine. I would like to book a vacation for myself and my three darling grandchildren, leaving as soon as possible but returning before the children start school on September 19.",,,as soon as possible,September 19,
Hey! I'm looking to book a trip to Naples,,Naples,,,
Just looking into vacations departing Phili. Where could I go for under 1200?,Phili,,,,1200
"HI. vacation please
5300 dollars for 8 days and I leave from Pittsburgh I go to anywhere",Pittsburgh,,,,5300
"Hey, I need to take two of my clients for a few days on a business trip. We have to leave Aug 29",,,Aug 29,,
"Hi there, I'd love to book a vacation from Frankfurt please.",Frankfurt,,,,
"Good day, I'm located in Kobe and I have been offered a possible internship in Baltimore at the heart of the action! I need you to book a flight and hotel package for me sometime between August 26 and September 10.",Kobe,Baltimore,August 26,September 10,
im trying to get to flavourtown aka seattle. i have 4 lawyers coming with me,,seattle,,,
I want to go to san antonio from tijuana for 7 days,tijuana,san antonio,,,
I want to get to Paris from Cordoba,Cordoba,Paris,,,
I'd like to try and book a vacation between september 2nd and september 15th,,,september 2nd,september 15th,
The big boss approved Sept 12-28,,,Sept 12,28,
"Boy oh boy! I got these 3 clients and these guys gotta have the best of the best, don't ask me why! So what do you have in Dublin that will impress the fellas?",,Dublin,,,
hi. i need to get the hell out of minneapolis,minneapolis,,,,
"London to Burlington. Sept 12 to 25
For one
Got anything?",London,Burlington,Sept 12,25,
I work in Sendai and I need to get out of here. I'm willing to blow all my savings,Sendai,,,,all my savings
"I want you to find me a package from Jerusalem to Miami between August 31st and September 3rd, if you dont find me a package i will sue",Jerusalem,Miami,August 31st,September 3rd,
Barcelona is calling me. Please show me the way there from Belo Horizonte.,Belo Horizonte,Barcelona,,,
Burlington to Denver please,Burlington,Denver,,,
"hello. seeking travel from mannheim to portland
my children will be travelling with me as well 2 of my lawyers
so 3 adults. 12 kids total
dates are irrelevant, please just tell me whats available",mannheim,portland,,,
"Katniss here, im in Rio de Janeiro and need to get to Paris to shoot a film",Rio de Janeiro,Paris,,,
I need to go to Minneapolis on August 17 on business and I need you take care of this quickly and efficiently. Can you do that for me?,,Minneapolis,August 17,,
"1 adult, 5 kids, Seattle to Athens for 16700, what are the options?",Seattle,Athens,,,16700
"Hello there! I have 12 days off starting on August 22, and I'm leaving from Santo Domingo",Santo Domingo,,August 22,,
I just got a tip that Madonna might be going to Burlington,,Burlington,,,
"HI. Get me to Santiago
Sept 13-24
Leaving from wherever",,Santiago,Sept 13,24,
Can you help me book a trip to Mexico City? We'll be 4 adults and 6 kids from Long Baech.,Long Baech,Mexico City,,,
Hi! You can help me by giving me the best honeymoon in Cancun!,,Cancun,,,
"Hi, my family and i are booking a trip to Sacramento, can you help us?",,Sacramento,,,
Hi looking for a vacation to hamburg,,hamburg,,,
I want to find a vacation between the 12th and 17th for 4 adults and 1 child. We would need to leave from Rio de Janeiro,Rio de Janeiro,,12th,17th,
punta cana to mexico city,punta cana,mexico city,,,
I want to go to Dublin,,Dublin,,,
"hayyyy so I just got married :smile: we totally forgot about booking our honeymoon. But yeah, the two of us wanna go to Fortaleza. the wedding is in Tijuana, and we wanna go on august 27",Tijuana,Fortaleza,august 27,,
"What good is money if I can't spend it??? I have 5600 saved up, can't actually travel, but want to see where I could go if maybe things were different and I had time off work. Like for example
Would I be able to go from Ulsan to Washington?",Ulsan,Washington,,,5600
Can you get me out of Pittsburgh on Sunday the 11th,Pittsburgh,,Sunday the 11th,,
"yo whats good in essen here, want to get out for a bit can you check if there are flights to cancun between august 24 and sept 4",essen,cancun,august 24,sept 4,
"i.... i am the biggest popstar. IN THE WORLD I wanna take a lowkey trip. somewhere beautifully hot
porto?
i want to leave from athens",athens,porto,,,
you do flights from North Vancouver to Washington?,North Vancouver,Washington,,,
"Hello, book me a trip from San Antonio to Phoenix leaving September 9th and returning September 11th please.",San Antonio,Phoenix,September 9th,September 11th,
hello we are 6 very quiet foreign exchange students from Santiago and we think that we need to start socializing more so we are thinking of going to Rome for spring break,Santiago,Rome,,,
Hi I want to go to Tijuana from Santo domingo for 2400,Santo domingo,Tijuana,,,2400
Hello! I want to book a trip for two adults and two children from August 25th to August 31st. We have several destinations in mind. Do you have any packages for Manaus?,,Manaus,August 25th,August 31st,
"Everyone in Europe is raving about this artisanal bratwurst they’re serving up in Hamburg, and I must get myself other there as soon as I can to blog about it! Do you offer flights there out of Seattle?",Seattle,Hamburg,as soon as I can,,
hi. I want to go to Tofino from Burlington. please recommend me packages from Sunday 21 to August 24 for 2200 for 7 adults.,Burlington,Tofino,Sunday 21,August 24,2200
um so i am getting married in calgary next week congrats to me and am trying to maybe book a honeymoon to Hiroshima with my hubby for hmmm some time after september 8 cause thats when we're hitchin,calgary,Hiroshima,after september 8,,
hay i am doing some business globetrotting just me and a colleague. we need to get to Fukuoka some time between august 27 and september 6,,Fukuoka,august 27,september 6,
"hey, I want to get myself to Porto Alegre from Toronto for less than $3900",Toronto,Porto Alegre,,,$3900
"Hey, I'm looking to find a vacation from Valencia to Osaka.",Valencia,Osaka,,,
"Hi, i need to get out of Jerusalem before i get whacked.",Jerusalem,,,,
I want to go to Hamburg from Washington. no more than 1000.,Washington,Hamburg,,,1000
"My boss gave me 8 days off! Get me out of Kingston on Sept 6, or shortly after",Kingston,,Sept 6,,
Hi there! Can you find me a trip to Kingston between August 25 and September 4?,,Kingston,August 25,September 4,
"Hi we're from Miami and we want to go to paris, can you help out?",Miami,paris,,,
Find me something flashy for 6 adults in Buenos Aires. Its my birthday so I don’t care what it costs,,Buenos Aires,,,
I want to go on a vacationg from september 18th to september 22nd to Monterrey from Curritiba for under 3100,Monterrey,Curritiba,september 18th,september 22nd,3100
"Good afternoon, my man! I'd like to plan a honeymoon in Naples for 5 days leaving from Madrid on August 17. What is available?",Madrid,Naples,August 17,,
1 ticket from San Francisco to Vitoria please!,San Francisco,Vitoria,,,
I only have 1800 in the bank though... can't do anything with that I bet,,,,,1800
Hi im looking to go to Fukuoka,,Fukuoka,,,
"Hi yes, to Jerusalem please.",,Jerusalem,,,
